0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /plugins/inputmask/min/jquery.inputmask.bundle.min.js HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/dist/js/adminlte.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/1111.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/dist/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/dist/js/pages/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/kullaniciyukle.jsp HTTP/1.1" 200 35741
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/summernote/summernote-bs4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:23:45 +0300] "GET /basic-webapp/adminpanel/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
